Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
Registry		3,420 K	79,768 K	92		
System Idle Process	84.83	60 K	8 K	0		
System	1.63	192 K	144 K	4		
 Interrupts	10.37	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		1,036 K	1,096 K	320	Windows Session Manager	Microsoft Corporation
 Memory Compression		576 K	75,036 K	1892		
csrss.exe		1,804 K	5,856 K	420	Client Server Runtime Process	Microsoft Corporation
wininit.exe		1,336 K	6,292 K	496	Windows Start-Up Application	Microsoft Corporation
 services.exe		4,528 K	8,484 K	632	Services and Controller app	Microsoft Corporation
  svchost.exe		800 K	3,116 K	752	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	9,772 K	25,748 K	836	Host Process for Windows Services	Microsoft Corporation
   StartMenuExperienceHost.exe		19,120 K	61,788 K	5220		
   RuntimeBroker.exe		5,772 K	25,052 K	5400	Runtime Broker	Microsoft Corporation
   SearchApp.exe	Suspended	176,200 K	87,248 K	5548	Search application	Microsoft Corporation
   RuntimeBroker.exe		19,392 K	45,800 K	5700	Runtime Broker	Microsoft Corporation
   LockApp.exe	Suspended	10,496 K	21,092 K	5300	LockApp.exe	Microsoft Corporation
   RuntimeBroker.exe		4,336 K	21,252 K	3484	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		5,020 K	22,300 K	6184	Runtime Broker	Microsoft Corporation
   dllhost.exe		1,768 K	8,828 K	3616	COM Surrogate	Microsoft Corporation
   ApplicationFrameHost.exe		7,364 K	26,916 K	8044	Application Frame Host	Microsoft Corporation
   TextInputHost.exe		9,008 K	35,408 K	2368		Microsoft Corporation
   dllhost.exe		3,760 K	12,248 K	3344	COM Surrogate	Microsoft Corporation
   SystemSettings.exe	Suspended	16,700 K	1,472 K	6396	Settings	Microsoft Corporation
  svchost.exe		6,288 K	13,728 K	884	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.05	2,192 K	7,600 K	928	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,128 K	9,544 K	492	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	1,480 K	5,584 K	876	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,236 K	4,772 K	924	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,996 K	8,804 K	1052	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,756 K	10,920 K	1064	Host Process for Windows Services	Microsoft Corporation
