"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"3:06:30.8234808 PM","Explorer.EXE","4788","RegOpenKey","HKCU","SUCCESS","Desired Access: Query Value"
"3:06:30.8234989 PM","Explorer.EXE","4788","RegCloseKey","HKCU","SUCCESS",""
"3:06:30.8236051 PM","Explorer.EXE","4788","RegOpenKey","HKCU","SUCCESS","Desired Access: Query Value"
"3:06:30.8236176 PM","Explorer.EXE","4788","RegCloseKey","HKCU","SUCCESS",""
"3:06:30.8236625 PM","Explorer.EXE","4788","RegOpenKey","HKCU","SUCCESS","Desired Access: Query Value"
"3:06:30.8236730 PM","Explorer.EXE","4788","RegCloseKey","HKCU","SUCCESS",""
"3:06:30.8237580 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"3:06:30.8237727 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"3:06:30.8237813 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"3:06:30.8237945 PM","Explorer.EXE","4788","RegOpenKey","HKCU\Software\Classes\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"3:06:30.8238083 PM","Explorer.EXE","4788","RegOpenKey","HKCR\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"3:06:30.8238867 PM","Explorer.EXE","4788","RegOpenKey","HKCU","SUCCESS","Desired Access: Query Value"
"3:06:30.8239040 PM","Explorer.EXE","4788","RegCloseKey","HKCU","SUCCESS",""
"3:06:30.8239758 PM","Explorer.EXE","4788","RegOpenKey","HKCU","SUCCESS","Desired Access: Query Value"
"3:06:30.8239870 PM","Explorer.EXE","4788","RegCloseKey","HKCU","SUCCESS",""
"3:06:30.8240321 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"3:06:30.8240454 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"3:06:30.8240541 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"3:06:30.8240640 PM","Explorer.EXE","4788","RegOpenKey","HKCU\Software\Classes\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"3:06:30.8240756 PM","Explorer.EXE","4788","RegOpenKey","HKCR\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"3:06:30.8241159 PM","Explorer.EXE","4788","RegOpenKey","HKCU","SUCCESS","Desired Access: Query Value"
"3:06:30.8241274 PM","Explorer.EXE","4788","RegCloseKey","HKCU","SUCCESS",""
"3:06:30.8241757 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: Name"
"3:06:30.8241888 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"3:06:30.8241968 PM","Explorer.EXE","4788","RegQueryKey","HKCU\Software\Classes","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"3:06:30.8242060 PM","Explorer.EXE","4788","RegOpenKey","HKCU\Software\Classes\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
"3:06:30.8242169 PM","Explorer.EXE","4788","RegOpenKey","HKCR\CLSID\{56AD4C5D-B908-4F85-8FF1-7940C29B3BCF}\Instance","NAME NOT FOUND","Desired Access: Read"
